State,Certified,Certified_Expired,Denied,Withdrawn
AL,1093,858,220,105
AK,56,45,16,5
AZ,2192,1569,359,213
AR,591,376,145,180
CA,43239,34880,5195,4001
CO,1467,1154,235,172
CT,1763,1390,255,181
DE,831,680,122,65
DC,448,470,132,48
DC,380,255,72,38
FM,0,1,0,0
FL,5908,4519,1190,490
GA,5841,4410,966,698
GU,176,119,57,15
HI,148,106,43,19
ID,244,214,35,30
IL,7440,6140,1133,829
IN,1400,1162,128,117
IA,809,658,87,68
KS,675,600,140,68
KY,820,627,103,75
LA,555,496,191,53
ME,164,183,27,21
MH,2,5,0,0
MD,2596,2273,708,321
MA,6456,5297,520,554
MI,6035,4540,722,480
MN,1539,1278,136,108
MS,256,189,198,67
MO,1546,1122,151,150
MT,68,56,24,11
AS,2,1,79,4
NE,619,430,99,88
NV,368,249,92,43
NH,461,357,32,37
NJ,13878,12570,2371,1606
NM,348,312,102,55
NY,14595,11234,2250,1270
NC,3954,3126,676,594
ND,209,167,38,20
MP,35,6,27,4
OH,3363,2574,457,394
OK,468,377,98,50
OR,2358,1423,303,269
PA,4364,3790,608,453
PR,80,71,51,11
RI,297,237,47,28
SC,1310,810,448,281
SD,127,93,20,21
TN,1053,765,181,86
TX,22977,18743,2431,1945
UT,648,503,126,80
VT,191,181,42,19
VI,32,10,29,0
VA,5663,5175,1057,726
WA,7938,8214,369,650
WV,160,154,23,20
WI,1644,1291,217,250
WY,53,49,12,4
