Admission Class,Certified,Certified-Expired,Denied,Withdrawn,Percentage-Certified,Percentage-Certified-Expired,Percentage-Denied,Percentage-Withdrawn
,44.25,28.7,7.7,19.35,44.25,28.7,7.7,19.35
H-2B,33.25,27.43,3.64,35.68,33.25,27.43,3.64,35.68
H-2A,24.84,7.64,3.82,63.7,24.84,7.64,3.82,63.7
U-1,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0
T-1,25.0,50.0,0.0,25.0,25.0,50.0,0.0,25.0
F-2,46.56,32.92,8.44,12.08,46.56,32.92,8.44,12.08
F-1,49.46,34.54,6.37,9.63,49.46,34.54,6.37,9.63
K-1,0.0,0.0,50.0,50.0,0.0,0.0,50.0,50.0
G-1,54.55,18.18,0.0,27.27,54.55,18.18,0.0,27.27
M-2,33.33,33.33,33.33,0.01,33.33,33.33,33.33,0.01
G-5,37.5,29.69,7.81,25.0,37.5,29.69,7.81,25.0
G-4,50.0,40.74,5.56,3.7,50.0,40.74,5.56,3.7
B-2,39.54,28.52,5.08,26.86,39.54,28.52,5.08,26.86
H-4,49.39,36.13,6.22,8.26,49.39,36.13,6.22,8.26
L-1,49.88,44.12,3.19,2.81,49.88,44.12,3.19,2.81
L-2,51.98,37.29,5.27,5.46,51.98,37.29,5.27,5.46
J-1,50.83,32.22,6.03,10.92,50.83,32.22,6.03,10.92
M-1,53.85,19.23,3.85,23.07,53.85,19.23,3.85,23.07
H-3,48.65,37.84,2.7,10.81,48.65,37.84,2.7,10.81
TN,51.47,39.48,4.6,4.45,51.47,39.48,4.6,4.45
O-2,35.0,40.0,5.0,20.0,35.0,40.0,5.0,20.0
O-1,50.31,36.27,5.47,7.95,50.31,36.27,5.47,7.95
B-1,35.01,20.91,4.7,39.38,35.01,20.91,4.7,39.38
AOS,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0
Parolee,39.28,47.57,6.53,6.62,39.28,47.57,6.53,6.62
O-3,50.0,33.33,8.33,8.34,50.0,33.33,8.33,8.34
A-3,24.14,24.14,3.45,48.27,24.14,24.14,3.45,48.27
P-4,50.0,16.67,0.0,33.33,50.0,16.67,0.0,33.33
EWI,26.19,28.24,3.94,41.63,26.19,28.24,3.94,41.63
I,45.12,35.37,6.1,13.41,45.12,35.37,6.1,13.41
A1/A2,42.58,33.55,3.87,20.0,42.58,33.55,3.87,20.0
H-1B,49.22,41.28,4.43,5.07,49.22,41.28,4.43,5.07
H-1C,62.5,12.5,12.5,12.5,62.5,12.5,12.5,12.5
H-1A,36.59,56.1,2.44,4.87,36.59,56.1,2.44,4.87
Q,40.0,40.0,0.0,20.0,40.0,40.0,0.0,20.0
D-1,16.67,33.33,0.0,50.0,16.67,33.33,0.0,50.0
E-1,43.9,34.43,6.56,15.11,43.9,34.43,6.56,15.11
E-3,54.44,35.42,4.67,5.47,54.44,35.42,4.67,5.47
E-2,46.57,33.84,6.99,12.6,46.57,33.84,6.99,12.6
Not in USA,48.8,30.05,10.19,10.96,48.8,30.05,10.19,10.96
C-3,28.57,0.0,14.29,57.14,28.57,0.0,14.29,57.14
TD,60.0,13.33,20.0,6.67,60.0,13.33,20.0,6.67
C-1,37.5,25.0,5.0,32.5,37.5,25.0,5.0,32.5
R-2,28.57,28.57,28.57,14.29,28.57,28.57,28.57,14.29
R-1,48.21,32.14,8.93,10.72,48.21,32.14,8.93,10.72
P-1,40.45,31.46,10.67,17.42,40.45,31.46,10.67,17.42
P-2,0.0,50.0,50.0,0.0,0.0,50.0,50.0,0.0
P-3,45.0,27.5,10.0,17.5,45.0,27.5,10.0,17.5
VWT,31.03,25.86,1.72,41.39,31.03,25.86,1.72,41.39
H-1B1,45.01,32.85,5.81,16.33,45.01,32.85,5.81,16.33
Parol,16.67,66.67,16.67,-0.01,16.67,66.67,16.67,-0.01
J-2,54.46,32.67,5.94,6.93,54.46,32.67,5.94,6.93
N,25.0,50.0,0.0,25.0,25.0,50.0,0.0,25.0
AOS/H-1B,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
TPS,49.73,29.41,4.81,16.05,49.73,29.41,4.81,16.05
V-2,50.0,0.0,0.0,50.0,50.0,0.0,0.0,50.0
VWB,50.0,30.0,0.0,20.0,50.0,30.0,0.0,20.0
