Job,Certified,Certified-Expired,Denied,Withdrawn
,14,15,516,7
Life Physical and Social Science Occupations,3035,2531,411,322
Community and Social Service Occupations,670,560,189,114
Business and Financial Operations Occupations,11105,9138,1529,1254
Food Preparation and Serving Related Occupations,3003,1997,1196,470
Protective Service Occupations,9,0,2,0
Transportation and Material Moving Occupations,419,314,232,216
Construction and Extraction Occupations,389,317,649,84
"Installation, Maintenance, and Repair Occupations",474,266,325,46
Legal Occupations,667,498,80,84
"Arts, Design, Entertainment, Sports, and Media Occupations",2593,1994,541,322
"Education, Training, and Library Occupations",6965,6436,1881,790
Computer and Mathematical Occupations,103106,86162,8857,8434
Healthcare Support Occupations,540,441,251,115
Building and Grounds Cleaning and Maintenance Occupations,1092,590,412,158
Architecture and Engineering Occupations,18003,14490,1806,1738
Production Occupations,3990,2432,2066,1130
Office and Administrative Support Occupations,1147,684,407,184
Healthcare Practitioners and Technical Occupations,7005,5629,878,752
Sales and Related Occupations,2291,1712,415,271
Personal Care and Service Occupations,469,266,341,68
Management Occupations,14529,12005,2367,1520
"Farming, Fishing, and Forestry Occupations",418,107,244,111
