State,Certified,Certified-Expired,Denied,Withdrawn
H-2B,33,27,3,37
H-2A,24,7,3,66
U-1,0,100,0,0
T-1,25,50,0,25
F-2,46,32,8,14
F-1,49,34,6,11
K-1,0,0,50,50
G-1,54,18,0,28
M-2,33,33,33,1
G-5,37,29,7,27
G-4,50,40,5,5
B-2,39,28,5,28
H-4,49,36,6,9
L-1,49,44,3,4
L-2,51,37,5,7
J-1,50,32,6,12
M-1,53,19,3,25
H-3,48,37,2,13
TN,51,39,4,6
O-2,35,40,5,20
O-1,50,36,5,9
B-1,35,20,4,41
AOS,0,100,0,0
Parolee,39,47,6,8
O-3,50,33,8,9
A-3,24,24,3,49
P-4,50,16,0,34
EWI,26,28,3,43
I,45,35,6,14
A1/A2,42,33,3,22
H-1B,49,41,4,6
H-1C,62,12,12,14
H-1A,36,56,2,6
Q,40,40,0,20
D-1,16,33,0,51
E-1,43,34,6,17
E-3,54,35,4,7
E-2,46,33,6,15
Not in USA,48,30,10,12
C-3,28,0,14,58
TD,60,13,20,7
C-1,37,25,5,33
R-2,28,28,28,16
R-1,48,32,8,12
P-1,40,31,10,19
P-2,0,50,50,0
P-3,45,27,10,18
VWT,31,25,1,43
H-1B1,45,32,5,18
Parol,16,66,16,2
J-2,54,32,5,9
N,25,50,0,25
AOS/H-1B,100,0,0,0
TPS,49,29,4,18
V-2,50,0,0,50
VWB,50,30,0,20
